Track Name,Artist,Album,Duration,Release Date,Streams
エレン・イェーガーからのスペシャルメッセージ!,TVアニメ「進撃の巨人」,「進撃の巨人」エレン・イェーガーからのスペシャルメッセージ!,40.771,15-02-23,44
Under the Tree,SiM,Under the Tree,121.692,04-03-23,71
The Rumbling,SiM,The Rumbling,220.799,07-02-22,71
Akuma no Ko,Higuchi Ai,Saiaku Saiai,229.96,02-03-22,61
Footsteps of Doom,KOHTA YAMAMOTO,Attack On Titan The Final Season Original Soundtrack 02,306.373,22-06-22,50
Ashes on The Fire -PTV-,KOHTA YAMAMOTO,Attack On Titan The Final Season Original Soundtrack 02,306.84,22-06-22,46
Boku no Sensou,Shinsei Kamattechan,Boku no Sensou,280.466,22-02-21,63
Shogeki,Yuko Ando,Shogeki,181.594,07-12-20,57
Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),KOHTA YAMAMOTO,Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),274.133,01-02-21,56
Guren no Yumiya,Linked Horizon,Shingeki no Kiseki,310.68,2017,65
ELO,Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,281.333,22-06-22,41
YouSee-Power,Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,257.466,22-06-22,41
attack ON taian [TFSv],Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,297.026,22-06-22,46
The Other Side of the Sea,KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,297.493,23-06-21,46
AOTF-s1,Hiroyuki Sawano,Attack on Titan The Final Season Original Soundtrack,477.48,23-06-21,42
The Warriors,KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,246.413,23-06-21,45
The Fall of Marley,KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,198.573,23-06-21,42
Shoukei to Shikabane no Michi,Linked Horizon,Shinjitsu eno Shingeki,276.176,03-07-19,56
Name of Love,cinema staff,Name of Love,266.68,29-05-19,49
Zero Eclipse,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",253.893,26-08-19,49
Call Your Name (Gv),Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",259.72,26-08-19,48
Symphonicsuite (Aot) Part2-1st: Attack on Titan (Wmid),Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",310.693,26-08-19,50
Symphonicsuite (Aot) Part2-2nd: Shingekinokyojin,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",182.333,26-08-19,43
Symphonicsuite (Aot) Part2-3rd: Before Lights Out,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",175.56,26-08-19,46
Symphonicsuite (Aot) Part2-5th: Apple Seed,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",166.853,26-08-19,50
Symphonicsuite (Aot) Part2-6th: Thanksat,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",239.773,26-08-19,45
Barricades - Movie Ver.,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",257.653,26-08-19,43
Great Escape - 2019 New Mix,cinema staff,Name of Love,201.866,29-05-19,38
Red Swan,Yoshiki,Red Swan,263.72,03-10-18,61
Akatsuki no Requiem,Linked Horizon,Rakuen Eno Shingeki,240.573,03-10-18,52
Attack on Titan,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",256.92,2013,61
The Reluctant Heroes,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",267.12,2013,53
DOA,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",206.026,2013,49
E.M.A,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",342.88,2013,46
Call Your Name,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",268.333,2013,54
"Utsukushiki Zankokuna Sekai (From ""Attack on Titan"")",Yoko Hikasa,Couleur,293.706,23-03-17,49
Rittaikidou,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",342.72,2013,47
Jiyuu no Tsubasa,Linked Horizon,Shingeki no Kiseki,331.946,2017,58
Bauklotze,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",236.253,2013,58
Vogel Im Kafig,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",380.053,2013,56
Eye-Water,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",181.413,2013,50
Counter Attack-Mankind,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",366.586,2013,47
So Ist Es Immer,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",289.68,07-06-17,47
Shinzo wo Sasageyo!,Linked Horizon,Shingeki no Kiseki,341.413,2017,66
Barricades,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",221.426,07-06-17,57
You See Big Girl / T:T,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",359.346,07-06-17,60
Call of Silence,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",178.213,07-06-17,58
Attack on D,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",284.333,07-06-17,47
夕暮れの鳥,Shinsei Kamattechan,夕暮れの鳥/光の言葉,304.266,24-05-17,26
Guren no Zahyou,Linked Horizon,Shingeki no Kiseki,306.48,2017,37
Jiyuu no Daishou,Linked Horizon,Shingeki no Kiseki,349.693,2017,35
The Dogs,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",275.28,07-06-17,41
